ECFP4_Fingerprint_component	sign_Log2FC	rank_sum	rank_sum_rank
ECFP4_0060	1	2051	132
ECFP4_1771	1	2042	131
ECFP4_1390	1	2036	130
ECFP4_0256	1	2026	129
ECFP4_0587	-1	2024	128
ECFP4_1623	1	2019	127
ECFP4_1107	1	2012	126
ECFP4_0058	-1	2007	125
ECFP4_0840	1	1995	124
ECFP4_0922	1	1981	123
ECFP4_0991	-1	1977	122
ECFP4_0953	1	1975	119
ECFP4_1095	-1	1975	119
ECFP4_1591	1	1975	119
ECFP4_1511	1	1974	118
ECFP4_0010	1	1973	116
ECFP4_1662	1	1973	116
ECFP4_0141	1	1958	115
ECFP4_2016	1	1948	114
ECFP4_1225	-1	1935	113
ECFP4_0307	1	1925	112
ECFP4_1616	1	1922	111
ECFP4_0144	1	1920	110
ECFP4_1258	1	1907	109
ECFP4_0505	1	1903	108
ECFP4_1278	-1	1902	107
ECFP4_0205	1	1889	104
ECFP4_1419	1	1889	104
ECFP4_1949	1	1889	104
ECFP4_1407	1	1882	103
ECFP4_1115	-1	1873	102
ECFP4_1583	1	1863	101
ECFP4_1471	1	1854	100
ECFP4_0150	1	1850	99
ECFP4_1709	1	1845	97
ECFP4_1938	1	1845	97
ECFP4_1106	-1	1838	96
ECFP4_0742	1	1822	95
ECFP4_1532	1	1813	94
ECFP4_1801	-1	1801	93
ECFP4_1483	-1	1798	92
ECFP4_0521	1	1796	91
ECFP4_1408	-1	1783	90
ECFP4_1841	1	1762	89
ECFP4_1572	-1	1757	88
ECFP4_0262	-1	1748	87
ECFP4_0966	1	1738	86
ECFP4_1036	-1	1733	85
ECFP4_1230	1	1714	84
ECFP4_1314	1	1702	83
ECFP4_0920	1	1695	82
ECFP4_0957	-1	1693	81
ECFP4_0673	1	1691	80
ECFP4_0136	1	1680	79
ECFP4_1555	1	1673	78
ECFP4_0127	1	1670	76
ECFP4_0976	-1	1670	76
ECFP4_0212	-1	1668	75
ECFP4_1797	1	1645	74
ECFP4_1433	1	1635	72
ECFP4_1584	1	1635	72
ECFP4_0424	1	1621	70
ECFP4_1315	-1	1621	70
ECFP4_0923	1	1618	69
ECFP4_0076	1	1577	68
ECFP4_0808	1	1564	67
ECFP4_1806	1	1558	66
ECFP4_1475	-1	1555	65
ECFP4_0015	1	1540	64
ECFP4_0651	1	1539	63
ECFP4_1793	-1	1535	62
ECFP4_1628	1	1525	61
ECFP4_0021	1	1523	60
ECFP4_0306	1	1517	59
ECFP4_2045	1	1489	58
ECFP4_1305	-1	1464	57
ECFP4_2043	-1	1457	56
ECFP4_0124	1	1446	55
ECFP4_0462	-1	1443	54
ECFP4_0599	1	1442	53
ECFP4_0415	-1	1428	52
ECFP4_1320	1	1406	51
ECFP4_0548	1	1403	50
ECFP4_0763	-1	1381	48
ECFP4_1780	1	1381	48
ECFP4_0631	1	1374	47
ECFP4_0324	1	1327	46
ECFP4_0919	1	1325	45
ECFP4_1592	1	1302	44
ECFP4_1428	1	1292	43
ECFP4_1886	-1	1272	42
ECFP4_0211	-1	1254	41
ECFP4_1805	-1	1239	40
ECFP4_1322	-1	1233	39
ECFP4_1551	1	1230	38
ECFP4_1585	1	1205	37
ECFP4_1674	1	1171	36
ECFP4_1078	1	1169	35
ECFP4_1252	1	1168	34
ECFP4_1668	1	1146	33
ECFP4_0938	1	1141	32
ECFP4_0571	1	1139	31
ECFP4_1782	1	1091	30
ECFP4_0805	1	1084	29
ECFP4_2024	1	1064	28
ECFP4_0810	1	1043	27
ECFP4_1023	1	1039	26
ECFP4_1360	1	1035	25
ECFP4_1882	1	1006	24
ECFP4_1143	-1	949	23
ECFP4_1541	1	939	22
ECFP4_0887	1	932	21
ECFP4_1223	-1	926	20
ECFP4_2027	-1	889	19
ECFP4_1786	1	875	18
ECFP4_0359	1	845	17
ECFP4_1259	-1	803	16
ECFP4_0830	1	767	15
ECFP4_1688	1	742	14
ECFP4_1556	-1	737	13
ECFP4_1720	-1	718	12
ECFP4_0467	-1	688	11
ECFP4_1977	1	632	10
ECFP4_0028	1	628	9
ECFP4_0465	-1	584	8
ECFP4_1927	-1	563	7
ECFP4_0897	1	508	6
ECFP4_0159	1	506	5
ECFP4_1222	1	480	4
ECFP4_1000	1	404	3
ECFP4_0064	1	370	2
ECFP4_1268	-1	309	1
